source,target,type,raw
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,P_IMPRIME_MENSAJE
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,PU:P_VALIDA_SOLICITUD_DUPLICADA,INTERNAL_PU_CALL,p_valida_solicitud_duplicada
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.WHEN-VALIDATE-ITEM,PU:P_VALIDA_SOLICITUD_DUPLI_COB,INTERNAL_PU_CALL,p_valida_solicitud_dupli_cob
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,EXT:Enfoco,EXTERNAL_CALL,Enfoco
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,EXT:F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,EXT:IN,EXTERNAL_CALL,IN
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,msg_alert
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,PU:P_VALIDA_SOLICITUD_DUPLICADA,INTERNAL_PU_CALL,p_valida_solicitud_duplicada
