node_id,scope,owner,trigger,sql_select,sql_insert,sql_update,sql_delete,sql_merge,execute_immediate,cursor,call_count
TRG_ITEM:RADICACION.FECHA_RECEPCION.KEY-NEXT-ITEM,ITEM,RADICACION.FECHA_RECEPCION,KEY-NEXT-ITEM,1,0,0,0,0,0,1,2
TRG_ITEM:RADICACION.FECHA_RECEPCION.WHEN-VALIDATE-ITEM,ITEM,RADICACION.FECHA_RECEPCION,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.MEDIO_PAGO.KEY-NEXT-ITEM,ITEM,RADICACION.MEDIO_PAGO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.MEDIO_PAGO.WHEN-LIST-CHANGED,ITEM,RADICACION.MEDIO_PAGO,WHEN-LIST-CHANGED,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NACIONALIDAD.KEY-NEXT-ITEM,ITEM,RADICACION.NACIONALIDAD,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NOMBRE_BANCO.WHEN-VALIDATE-ITEM,ITEM,RADICACION.NOMBRE_BANCO,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NOMBRE_PROPIETARIO.KEY-NEXT-ITEM,ITEM,RADICACION.NOMBRE_PROPIETARIO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NO_SOLICITUD_ORIGINAL.KEY-NEXT-ITEM,ITEM,RADICACION.NO_SOLICITUD_ORIGINAL,KEY-NEXT-ITEM,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.NO_SOLICITUD_ORIGINAL.WHEN-NEW-ITEM-INSTANCE,ITEM,RADICACION.NO_SOLICITUD_ORIGINAL,WHEN-NEW-ITEM-INSTANCE,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NO_SOLICITUD_ORIGINAL.WHEN-VALIDATE-ITEM,ITEM,RADICACION.NO_SOLICITUD_ORIGINAL,WHEN-VALIDATE-ITEM,1,0,0,0,0,0,1,5
TRG_ITEM:RADICACION.NUMERO_CUENTA.KEY-NEXT-ITEM,ITEM,RADICACION.NUMERO_CUENTA,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NUMERO_CUENTA.WHEN-VALIDATE-ITEM,ITEM,RADICACION.NUMERO_CUENTA,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,2
